City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,8.34,72,82,4.02,NZ,1726440073
1,kodiak,57.79,-152.4072,15.73,41,20,6.69,US,1726440178
2,vilyuchinsk,52.9306,158.4028,9.15,56,74,7.84,RU,1726440179
3,keflavik,64.0049,-22.5624,5.24,60,0,4.12,IS,1726440180
4,adamstown,-25.066,-130.1015,20.27,81,100,6.85,PN,1726440181
5,grytviken,-54.2811,-36.5092,-2.42,75,56,4.25,GS,1726440182
6,puerto natales,-51.7236,-72.4875,7.25,76,40,7.72,CL,1726440183
7,bethel,41.3712,-73.414,21.99,72,3,0.45,US,1726440184
8,saint-paul,-21.0096,55.2707,21.41,83,76,2.52,RE,1726440185
9,new norfolk,-42.7826,147.0587,9.4,74,80,2.71,AU,1726440074
10,vorgashor,67.5833,63.95,12.43,98,80,3.78,RU,1726440188
11,college,64.8569,-147.8028,11.97,79,75,3.6,US,1726440189
12,waitangi,-43.9535,-176.5597,9.9,96,97,2.24,NZ,1726440190
13,emerald,-23.5333,148.1667,17.41,33,0,8.52,AU,1726440191
14,saldanha,-33.0117,17.9442,13.03,84,97,8.0,ZA,1726440192
15,ilulissat,69.2167,-51.1,-1.49,77,99,2.06,GL,1726440193
16,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,62,20,2.0,RU,1726440194
17,klyuchi,52.2667,79.1667,3.69,70,27,6.21,RU,1726440195
18,atafu village,-8.5421,-172.5159,27.64,78,36,4.04,TK,1726440196
19,lebedyan',53.0194,39.1664,15.08,39,8,3.69,RU,1726440198
20,ribeira grande,38.5167,-28.7,23.22,68,40,4.47,PT,1726440199
21,port-aux-francais,-49.35,70.2167,2.49,75,87,14.31,TF,1726440200
22,polyarnyy,69.1989,33.4478,9.39,97,100,1.85,RU,1726440201
23,kulhudhuffushi,6.6221,73.07,27.61,79,72,4.59,MV,1726440202
24,west end,26.6833,-78.9667,29.46,67,100,0.89,BS,1726440203
25,nemuro,43.3236,145.575,15.74,76,0,5.06,JP,1726440204
26,leninskoye,41.7589,69.3864,18.79,23,96,1.82,KZ,1726440205
27,west island,-12.1568,96.8225,25.99,78,76,6.69,CC,1726440206
28,kaspiyskiy,45.3929,47.3707,20.08,61,0,6.93,RU,1726440207
29,yellowknife,62.456,-114.3525,14.29,83,20,6.71,CA,1726440208
30,alesund,62.4723,6.1549,13.75,88,20,0.0,NO,1726440210
31,deqen,29.9618,90.7188,6.21,87,69,1.61,CN,1726440211
32,port alfred,-33.5906,26.891,12.88,95,5,0.45,ZA,1726440212
33,lihue,21.9789,-159.3672,28.77,68,20,6.69,US,1726440213
34,stanley,54.868,-1.6985,10.01,88,0,1.54,GB,1726440214
35,blackmans bay,-43.0167,147.3167,8.74,80,60,1.79,AU,1726440215
36,kodinsk,58.6881,99.1844,0.69,94,100,3.37,RU,1726440216
37,prado,-17.3411,-39.2208,24.29,79,0,6.09,BR,1726440217
38,bilibino,68.0546,166.4372,2.28,99,100,2.93,RU,1726440218
39,baturaja,-4.1333,104.1667,22.44,90,38,0.62,ID,1726440219
40,namibe,-15.1961,12.1522,17.26,86,40,2.29,AO,1726440220
41,tsetserleg,47.475,101.4542,1.02,61,0,1.33,MN,1726440222
42,thompson,55.7435,-97.8558,22.09,40,0,6.17,CA,1726440223
43,jalpa,21.6333,-102.9667,28.88,50,89,2.78,MX,1726440224
44,ugoofaaru,5.6667,73.0,28.02,76,81,4.51,MV,1726440225
45,undurkhaan,47.3194,110.6556,7.09,77,0,1.64,MN,1726440226
46,utrik,11.2278,169.8474,28.52,75,79,4.9,MH,1726440227
47,ceeldheer,3.8488,47.1806,24.06,86,67,7.02,SO,1726440228
48,pruzhany,52.5567,24.4644,18.0,36,100,5.53,BY,1726440229
49,charters towers,-20.1,146.2667,22.43,46,40,7.3,AU,1726440230
50,strezhevoy,60.7333,77.5889,1.8,81,15,2.31,RU,1726440231
51,saipan,15.1355,145.701,28.39,89,100,12.35,MP,1726440232
52,port elizabeth,-33.918,25.5701,15.73,85,0,4.63,ZA,1726440235
53,dudinka,69.4058,86.1778,5.25,59,99,6.52,RU,1726440236
54,tolanaro,-25.0319,46.9987,22.04,83,0,8.23,MG,1726440237
55,edinburgh of the seven seas,-37.0676,-12.3116,14.6,94,99,11.68,SH,1726440238
56,port mathurin,-19.6833,63.4167,21.12,63,71,9.63,MU,1726440239
57,puerto baquerizo moreno,-0.9,-89.6,23.55,88,40,8.23,EC,1726440240
58,iqaluit,63.7506,-68.5145,2.85,93,100,6.17,CA,1726440241
59,mount gambier,-37.8333,140.7667,9.91,72,96,3.1,AU,1726440242
60,qaqortoq,60.7167,-46.0333,4.83,94,100,0.52,GL,1726440244
61,nguigmi,14.2495,13.1092,31.7,54,100,4.37,NE,1726440245
62,colonia,50.9333,6.95,16.64,85,100,0.51,DE,1726440246
63,arraial do cabo,-22.9661,-42.0278,22.06,90,31,2.75,BR,1726440247
64,laojunmiao,39.8333,97.7333,11.98,75,33,3.8,CN,1726440248
65,colonia menno,-22.3667,-59.8167,18.13,72,26,3.9,PY,1726440249
66,sirte,31.2089,16.5887,24.78,66,5,2.98,LY,1726440250
67,kununurra,-15.7667,128.7333,22.99,56,7,1.54,AU,1726440251
68,st. john's,47.5649,-52.7093,11.1,78,20,5.66,CA,1726440252
69,chonchi,-42.6128,-73.8092,5.32,92,88,0.93,CL,1726440253
70,almodovar,37.4959,-8.0937,21.16,40,33,1.14,PT,1726440255
71,afaahiti,-17.75,-149.2833,24.23,79,14,1.91,PF,1726440256
72,luderitz,-26.6481,15.1594,12.25,78,0,9.36,NA,1726440257
73,papatowai,-46.5619,169.4708,7.21,67,94,2.6,NZ,1726440258
74,bella vista,36.4295,-94.2316,28.86,60,0,7.72,US,1726440260
75,seven pagodas,12.6264,80.1722,28.09,65,68,3.95,IN,1726440261
76,albany,42.6001,-73.9662,25.44,63,1,1.39,US,1726440262
77,constantia,44.1833,28.65,14.38,93,35,5.13,RO,1726440263
78,izhmorskiy,56.194,86.6414,-0.94,96,80,2.62,RU,1726440265
79,kalemie,-5.9475,29.1947,23.45,38,6,0.73,CD,1726440266
80,farakka,24.8167,87.9,25.0,93,100,9.6,IN,1726440267
81,bredasdorp,-34.5322,20.0403,12.01,73,97,1.6,ZA,1726440268
82,kidal,18.4411,1.4078,32.13,39,11,3.37,ML,1726440269
83,aioun,16.6614,-9.6149,27.41,67,87,8.52,MR,1726440270
84,xining,36.6167,101.7667,12.7,92,100,1.03,CN,1726440271
85,eureka,40.8021,-124.1637,18.44,77,90,3.13,US,1726440272
86,oriximina,-1.7656,-55.8661,31.3,42,38,1.51,BR,1726440273
87,roberval,48.5168,-72.2324,25.35,53,75,3.09,CA,1726440274
88,murghob,38.1702,73.9667,3.97,44,58,1.53,TJ,1726440277
89,tymovskoye,50.8456,142.655,12.92,65,1,2.58,RU,1726440278
90,hadibu,12.65,54.0333,24.9,82,66,7.48,YE,1726440279
91,whitehorse,60.7161,-135.0538,10.45,82,75,7.72,CA,1726440280
92,terme,41.2092,36.9739,20.45,94,2,3.91,TR,1726440281
93,letterkenny,54.95,-7.7333,8.43,98,57,0.54,IE,1726440282
94,hakui,36.8833,136.7833,24.58,90,100,5.8,JP,1726440283
95,igarka,67.4667,86.5833,3.24,65,84,2.57,RU,1726440284
96,tyazhinskiy,56.116,88.524,-0.65,95,82,2.18,RU,1726440286
97,enewetak,11.3474,162.3373,28.65,79,90,6.16,MH,1726440287
98,chengdu,30.6667,104.0667,23.94,94,40,3.0,CN,1726440288
99,udachny,66.4167,112.4,0.72,87,100,1.87,RU,1726440289
100,olonkinbyen,70.9221,-8.7187,2.58,96,100,10.85,SJ,1726440290
101,den burg,53.0542,4.7972,15.99,94,100,1.54,NL,1726440291
102,dazhou,31.2159,107.5009,25.5,72,71,1.46,CN,1726440292
103,guisa,20.255,-76.5386,26.25,87,99,1.36,CU,1726440293
104,geraldton,-28.7667,114.6,13.23,50,0,8.75,AU,1726440294
105,anadyr,64.75,177.4833,7.28,75,20,4.0,RU,1726440004
106,carnarvon,-24.8667,113.6333,19.4,36,0,9.91,AU,1726440297
107,tshabong,-26.05,22.45,15.44,17,100,4.66,BW,1726440298
108,ushuaia,-54.8,-68.3,3.81,75,20,6.69,AR,1726440299
109,alofi,-19.0595,-169.9187,27.94,69,75,4.63,NU,1726440300
110,kirensk,57.7853,108.1119,2.42,92,99,3.82,RU,1726440301
111,cabo san lucas,22.8909,-109.9124,29.31,74,0,7.2,MX,1726440032
112,aykhal,66.0,111.5,-1.7,98,100,2.16,RU,1726440303
113,taksimo,56.3444,114.8794,7.44,81,85,2.13,RU,1726440304
114,cromwell,41.5951,-72.6454,22.48,70,0,2.24,US,1726440305
115,talnakh,69.4865,88.3972,4.26,71,100,4.04,RU,1726440306
116,katsuura,35.1333,140.3,27.32,86,87,3.97,JP,1726440307
117,minas de marcona,-15.2119,-75.1103,11.95,80,7,6.24,PE,1726440309
118,kolonia town,6.964,158.206,27.06,83,100,2.06,FM,1726440310
119,margaret river,-33.95,115.0667,10.83,72,0,5.56,AU,1726440311
120,wailua homesteads,22.0669,-159.378,28.44,74,20,6.69,US,1726440312
121,xichang,27.8964,102.2634,17.92,94,100,0.77,CN,1726440313
122,laguna,38.421,-121.4238,25.62,46,0,5.14,US,1726440314
123,avarua,-21.2078,-159.775,26.03,65,20,8.23,CK,1726440315
124,challapata,-18.9,-66.7667,11.17,9,11,2.53,BO,1726440316
125,isafjordur,66.0755,-23.124,2.97,67,29,2.31,IS,1726440317
126,longyearbyen,78.2186,15.6401,4.91,93,75,1.03,SJ,1726440318
127,gao,16.6362,1.637,31.1,53,28,4.95,ML,1726440319
128,fengxiang,47.5833,130.8333,12.89,67,100,1.38,CN,1726440321
129,kingston,17.997,-76.7936,31.53,74,20,7.72,JM,1726440322
130,kamina,-8.7386,24.9906,20.88,25,6,0.38,CD,1726440323
131,saint-louis,16.3333,-15.0,31.58,51,98,2.82,SN,1726440324
132,santo antonio do sudoeste,-26.0736,-53.7253,14.16,96,100,1.66,BR,1726440325
133,polewali,-3.4324,119.3435,24.64,75,98,0.36,ID,1726440326
134,ambon,-3.6954,128.1814,27.71,95,40,0.51,ID,1726440327
135,guarapari,-20.6667,-40.4975,22.08,89,0,4.7,BR,1726440328
136,mahina,-17.5065,-149.489,27.87,74,75,1.54,PF,1726440329
137,cabanas,22.9758,-82.9219,28.51,78,44,1.73,CU,1726440330
138,happy valley-goose bay,53.3168,-60.3315,13.17,76,75,1.54,CA,1726440333
139,nuuk,64.1835,-51.7216,3.34,100,100,1.03,GL,1726440334
140,port saint john's,-31.6229,29.5448,19.85,82,88,2.88,ZA,1726440335
141,lebu,-37.6167,-73.65,9.42,89,1,5.99,CL,1726440336
142,puerto aysen,-45.4,-72.7,4.65,100,100,2.82,CL,1726440337
143,norrtalje,59.758,18.705,7.69,72,35,0.29,SE,1726440338
144,sretensk,52.2453,117.7093,10.37,83,100,3.31,RU,1726440339
145,puerto ayora,-0.7393,-90.3518,21.97,93,75,4.02,EC,1726440341
146,hawaiian paradise park,19.5933,-154.9731,27.73,74,100,4.12,US,1726440342
147,riverton,40.5219,-111.9391,30.99,24,0,5.36,US,1726440343
148,rundu,-17.9333,19.7667,23.53,23,55,1.49,NA,1726440344
149,hithadhoo,-0.6,73.0833,28.33,75,67,4.17,MV,1726440345
150,luganville,-15.5333,167.1667,26.02,86,98,4.45,VU,1726440346
151,shakawe,-18.3667,21.85,24.56,20,20,2.39,BW,1726440347
152,cockburn town,21.4612,-71.1419,30.98,79,40,4.12,TC,1726440348
153,pisco,-13.7,-76.2167,18.03,72,0,6.69,PE,1726440349
154,morondava,-20.2833,44.2833,23.53,88,3,1.08,MG,1726440350
155,guerrero negro,27.9769,-114.0611,22.13,62,0,7.82,MX,1726440352
156,punta arenas,-53.15,-70.9167,6.06,70,20,8.23,CL,1726440353
157,espanola,35.9911,-106.0806,28.26,21,75,2.68,US,1726440354
158,sirohi,24.8833,72.8667,22.58,79,3,2.03,IN,1726440355
159,georgetown,5.4112,100.3354,25.96,88,40,3.6,MY,1726440356
160,takoradi,4.8845,-1.7554,23.33,92,55,3.63,GH,1726440357
161,saint-philippe,-21.3585,55.7679,19.55,68,52,5.36,RE,1726440358
162,san antonio de pale,-1.4014,5.6325,24.45,85,70,4.6,GQ,1726440359
163,aasiaat,68.7098,-52.8699,-1.61,88,100,2.4,GL,1726440360
164,buala,-8.145,159.5921,28.54,74,30,2.8,SB,1726440361
165,savanna-la-mar,18.219,-78.1332,29.96,89,100,0.76,JM,1726440362
166,gaspe,48.8334,-64.4819,15.12,82,40,1.54,CA,1726440342
167,fortuna foothills,32.6578,-114.4119,39.19,15,0,7.2,US,1726440365
168,zhongxing,33.7039,118.6792,20.25,89,66,4.14,CN,1726440366
169,gokarna,14.55,74.3167,25.58,83,81,1.6,IN,1726440367
170,oakdale,44.963,-92.9649,30.25,58,0,5.14,US,1726440368
171,metkovic,43.0542,17.6483,11.02,77,80,2.26,HR,1726440369
172,xiva,41.3783,60.3639,19.3,25,100,1.7,UZ,1726440370
173,taroa,8.7058,171.2275,26.69,84,94,4.3,MH,1726440371
174,ust'-kulom,61.6864,53.6902,14.09,97,91,0.95,RU,1726440372
175,quepos,9.4236,-84.1652,27.78,82,91,0.66,CR,1726440373
176,peace river,56.2501,-117.286,19.17,48,40,4.63,CA,1726440375
177,voinjama,8.4219,-9.7478,20.36,100,93,0.79,LR,1726440376
178,hecun,36.5333,114.1111,18.66,68,0,0.5,CN,1726440377
179,thinadhoo,0.5333,72.9333,28.29,76,83,4.62,MV,1726440378
180,sao felix do xingu,-6.6447,-51.995,31.03,26,40,0.76,BR,1726440379
181,grudki,53.0949,23.6685,17.79,47,100,4.13,PL,1726440380
182,cukurca,37.2481,43.6136,18.2,36,41,1.29,TR,1726440381
183,fort mcmurray,56.7268,-111.381,16.77,59,100,1.54,CA,1726440117
184,fauske,67.2588,15.3918,12.75,60,83,2.38,NO,1726440383
185,coquimbo,-29.9533,-71.3436,13.85,82,0,4.12,CL,1726440276
186,ghat,24.9647,10.1728,30.62,36,24,2.22,LY,1726440386
187,sooke,48.3746,-123.7276,20.11,70,15,2.06,CA,1726440387
188,sao tome,0.3365,6.7273,25.44,85,30,3.66,ST,1726440388
189,portland,45.5234,-122.6762,19.8,64,75,2.68,US,1726440176
190,chesma,53.8111,60.6533,10.52,95,15,3.46,RU,1726440390
191,fortuna,40.5982,-124.1573,18.29,75,100,6.17,US,1726440391
192,baskale,38.0453,44.0172,11.72,57,94,0.66,TR,1726440393
193,kenora,49.8167,-94.4337,24.54,69,100,5.66,CA,1726440395
194,kitami,43.8031,143.8908,15.67,61,0,1.05,JP,1726440396
195,mashava,-20.0367,30.4823,24.52,19,0,6.13,ZW,1726440398
196,bikenibeu village,1.3673,173.1241,30.98,70,20,3.09,KI,1726440399
197,aswan,24.0934,32.907,32.61,20,0,1.54,EG,1726440400
198,llorente,11.4119,125.5458,27.3,78,100,4.97,PH,1726440401
199,tiksi,71.6872,128.8694,0.62,81,100,4.7,RU,1726440402
200,hermanus,-34.4187,19.2345,11.56,70,100,1.87,ZA,1726440403
201,lorengau,-2.0226,147.2712,28.03,83,77,4.31,PG,1726440404
202,hamilton,39.1834,-84.5333,31.32,27,0,2.24,US,1726440405
203,kula,38.5473,28.6498,14.27,59,0,0.99,TR,1726440406
204,taunggyi,20.7833,97.0333,17.06,96,97,0.24,MM,1726440407
205,merizo village,13.2658,144.6691,26.31,93,98,10.23,GU,1726440408
206,broken hill,-31.95,141.4333,9.14,45,0,7.11,AU,1726440410
207,pyhaselka,62.4333,29.9667,8.55,97,72,1.84,FI,1726440411
208,kimbe,-5.5502,150.1429,29.49,69,68,0.92,PG,1726440412
209,sola,-13.8833,167.55,26.06,83,79,4.69,VU,1726440413
210,isla mujeres,21.2311,-86.731,30.65,76,72,4.06,MX,1726440414
211,weno,7.4515,151.8468,28.97,84,100,0.0,FM,1726440415
212,humberto de campos,-2.5983,-43.4611,24.93,81,19,2.63,BR,1726440416
213,jamestown,42.097,-79.2353,24.8,43,0,3.09,US,1726440417
214,cavelossim,15.1726,73.9419,25.07,85,99,1.03,IN,1726440418
215,sitka,57.0531,-135.33,13.94,94,100,5.14,US,1726440419
216,dabrowa tarnowska,50.1746,20.9863,14.4,97,100,1.74,PL,1726440421
217,chu,43.5983,73.7614,13.71,39,16,0.79,KZ,1726440422
218,keita,14.7551,5.7749,29.92,58,4,2.89,NE,1726440423
219,waingapu,-9.6567,120.2641,24.7,72,66,1.96,ID,1726440424
220,yarmouth,41.7057,-70.2286,19.45,66,0,2.06,US,1726440425
221,iquique,-20.2208,-70.1431,16.21,84,22,0.86,CL,1726440426
222,santiago de cao,-7.9589,-79.2392,17.07,82,20,4.63,PE,1726440427
223,san ignacio,17.1561,-89.0714,36.08,52,40,3.09,BZ,1726440428
224,shahritus,37.2637,68.1385,19.49,23,16,1.3,TJ,1726440429
225,island harbour,50.724,-1.2758,15.0,64,99,0.45,GB,1726440430
226,remire-montjoly,4.9167,-52.2667,28.02,78,0,3.6,GF,1726440433
227,iskateley,67.6803,53.1512,14.27,76,97,3.33,RU,1726440434
228,pesqueira,-8.3578,-36.6964,16.81,97,13,5.82,BR,1726440435
229,sosnovo-ozerskoye,52.5249,111.5418,3.08,76,0,4.72,RU,1726440436
230,tuzlukcu,38.4778,31.6264,18.34,53,0,4.91,TR,1726440437
231,andovoranto,-18.95,49.1,20.66,69,87,1.51,MG,1726440438
232,san lawrenz,36.0553,14.204,21.03,72,2,6.47,MT,1726440439
233,levuka,50.1834,-105.4011,23.85,31,75,4.12,CA,1726440440
234,trairi,-3.2778,-39.2689,25.55,77,4,5.96,BR,1726440442
235,wakkanai,45.4094,141.6739,17.76,61,0,3.71,JP,1726440443
236,iranshahr,27.2025,60.6848,30.08,30,0,2.3,IR,1726440445
237,praia da vitoria,38.7333,-27.0667,23.2,78,40,2.98,PT,1726440446
238,egilsstadir,65.2653,-14.3948,1.95,75,0,3.6,IS,1726440447
239,tura,25.5198,90.2201,23.94,87,100,2.28,IN,1726440448
240,badger,64.8,-147.5333,11.93,83,20,3.6,US,1726440449
241,saudarkrokur,65.7461,-19.6394,1.14,83,30,0.36,IS,1726440450
242,truro,50.2653,-5.0544,15.6,100,100,3.09,GB,1726440451
243,bandarbeyla,9.4942,50.8122,24.55,78,79,11.93,SO,1726440452
244,horta,38.5333,-28.6333,22.8,79,40,4.02,PT,1726440454
245,singkil,-7.9855,111.4161,22.16,89,59,2.18,ID,1726440455
246,vila franca do campo,37.7167,-25.4333,22.23,75,65,2.16,PT,1726440456
247,gizo,-8.103,156.8419,27.97,77,90,3.29,SB,1726440457
248,susuman,62.7833,148.1667,0.82,71,100,1.47,RU,1726440458
249,barcelos,41.5388,-8.6151,19.02,33,4,2.77,PT,1726440459
250,princeville,45.7668,-61.2985,14.87,87,2,0.45,CA,1726440460
251,fort bragg,35.139,-79.006,23.79,88,20,4.63,US,1726440461
252,jimenez,28.3333,-105.4,30.81,35,7,2.98,MX,1726440463
253,lethem,3.3803,-59.7968,29.57,60,100,0.69,GY,1726440465
254,ust'-ilimsk,58.0006,102.6619,1.48,98,100,2.9,RU,1726440466
255,diyarbakir,37.9158,40.2189,22.99,40,0,1.09,TR,1726440467
256,port lincoln,-34.7333,135.8667,12.02,65,12,5.81,AU,1726440468
257,ingeniero guillermo n. juarez,-23.9,-61.85,21.6,27,0,3.22,AR,1726440469
258,burang,30.25,81.1667,4.75,87,41,1.08,CN,1726440470
259,jalapa,19.5333,-96.9167,22.13,90,100,1.58,MX,1726440471
260,bulgan,48.8125,103.5347,3.63,83,0,1.01,MN,1726440472
261,revda,56.801,59.9303,10.3,98,11,1.1,RU,1726440473
262,cururupu,-1.8283,-44.8683,24.79,81,43,2.28,BR,1726440474
263,san patricio,28.017,-97.5169,29.97,75,100,3.48,US,1726440475
264,faya-largeau,17.9257,19.1043,34.3,15,5,5.47,TD,1726440477
265,kapuskasing,49.4169,-82.4331,27.05,50,75,7.72,CA,1726440478
266,nouadhibou,20.931,-17.0347,21.99,83,2,6.69,MR,1726440479
267,haiku-pauwela,20.9219,-156.3051,29.57,72,10,15.2,US,1726440480
268,tual,-5.6667,132.75,26.54,84,94,6.43,ID,1726440481
269,belyy yar,53.6039,91.3903,3.94,81,0,3.0,RU,1726440482
270,tlahualilo de zaragoza,26.1167,-103.45,29.91,38,17,3.0,MX,1726440483
271,felipe carrillo puerto,19.5833,-88.05,29.54,80,62,1.52,MX,1726440484
272,niquelandia,-14.4739,-48.4597,27.19,21,0,2.33,BR,1726440485
273,rio grande,-32.035,-52.0986,13.03,81,4,3.17,BR,1726440486
274,koryazhma,61.3143,47.1691,14.99,79,100,1.43,RU,1726440380
275,katabu,-4.9333,122.5167,24.5,77,45,1.08,ID,1726440489
276,amga,60.8953,131.9608,3.13,63,98,0.61,RU,1726440490
277,stilfontein,-26.8449,26.7683,15.57,16,100,1.23,ZA,1726440491
278,zhob,31.3411,69.4481,23.04,53,0,1.44,PK,1726440492
279,ust-nera,64.5667,143.2,2.48,74,100,2.35,RU,1726440493
280,thunder bay,48.4001,-89.3168,26.95,65,40,6.17,CA,1726440494
281,hasaki,35.7333,140.8333,25.87,90,67,2.94,JP,1726440495
282,jayapura,-2.5333,140.7,26.66,86,97,1.87,ID,1726440496
283,kudahuvadhoo,2.6708,72.8944,28.78,72,76,4.62,MV,1726440497
284,fruitland,38.3221,-75.6202,23.03,68,0,5.14,US,1726440498
285,sittwe,20.15,92.9,26.45,87,100,5.36,MM,1726440500
286,whakatane,-37.9585,176.9854,13.02,70,100,2.68,NZ,1726440501
287,mount pearl,47.5166,-52.7813,10.64,79,20,5.66,CA,1726440502
288,kutum,14.2,24.6667,25.5,53,85,3.19,SD,1726440503
289,el bauga,18.262,33.9081,33.62,14,24,3.56,SD,1726440504
